[2018-11-02 13:57:46:0852] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:44:0490] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:45:0229] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:46:0032] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:46:0772] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:47:0581] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:48:0355] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 13:58:49:0174] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:04:49:0442] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:04:50:0197] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:05:04:0296] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:05:11:0150] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:07:21:0578] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 14:07:21:0945] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 14:07:21:0974] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[16784]
[2018-11-02 14:07:21:0974] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[20376]
[2018-11-02 14:07:21:0983] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:09:09:0175] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:09:10:0146] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:09:10:0940] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:09:11:0691] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:09:12:0474] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:09:13:0309] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-02 14:10:04:0119] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 14:12:51:0955] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-11-02 14:12:52:0340] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-11-02 14:12:52:0382] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[17092]
[2018-11-02 14:12:52:0382] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[20176]
